"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alachua County, FL"	"12001"	"2004"	"2004"	12	229867	Unreliable
	"Alachua County, FL"	"12001"	"2006"	"2006"	14	239506	Unreliable
	"Alachua County, FL"	"12001"	"2009"	"2009"	10	246657	Unreliable
	"Alachua County, FL"	"12001"	"2010"	"2010"	17	247336	Unreliable
	"Alachua County, FL"	"12001"	"2011"	"2011"	11	249365	Unreliable
	"Alachua County, FL"	"12001"	"2012"	"2012"	13	251417	Unreliable
	"Alachua County, FL"	"12001"	"2013"	"2013"	14	253451	Unreliable
	"Bay County, FL"	"12005"	"1999"	"1999"	10	148149	Unreliable
	"Bay County, FL"	"12005"	"2004"	"2004"	10	158804	Unreliable
	"Bay County, FL"	"12005"	"2007"	"2007"	10	165345	Unreliable
	"Bay County, FL"	"12005"	"2008"	"2008"	13	166267	Unreliable
	"Bay County, FL"	"12005"	"2010"	"2010"	14	168852	Unreliable
	"Bay County, FL"	"12005"	"2011"	"2011"	15	169856	Unreliable
	"Bay County, FL"	"12005"	"2012"	"2012"	13	171903	Unreliable
	"Bay County, FL"	"12005"	"2013"	"2013"	11	174987	Unreliable
	"Bay County, FL"	"12005"	"2014"	"2014"	16	178985	Unreliable
	"Brevard County, FL"	"12009"	"1999"	"1999"	18	472138	Unreliable
	"Brevard County, FL"	"12009"	"2000"	"2000"	27	476230	5.7
	"Brevard County, FL"	"12009"	"2001"	"2001"	19	486429	Unreliable
	"Brevard County, FL"	"12009"	"2002"	"2002"	15	495425	Unreliable
	"Brevard County, FL"	"12009"	"2003"	"2003"	31	504847	6.1
	"Brevard County, FL"	"12009"	"2004"	"2004"	20	518722	3.9
	"Brevard County, FL"	"12009"	"2005"	"2005"	22	529907	4.2
	"Brevard County, FL"	"12009"	"2006"	"2006"	28	535138	5.2
	"Brevard County, FL"	"12009"	"2007"	"2007"	33	539719	6.1
	"Brevard County, FL"	"12009"	"2008"	"2008"	26	542378	4.8
	"Brevard County, FL"	"12009"	"2009"	"2009"	32	542109	5.9
	"Brevard County, FL"	"12009"	"2010"	"2010"	28	543376	5.2
	"Brevard County, FL"	"12009"	"2011"	"2011"	24	543566	4.4
	"Brevard County, FL"	"12009"	"2012"	"2012"	32	547307	5.8
	"Brevard County, FL"	"12009"	"2013"	"2013"	31	550823	5.6
	"Brevard County, FL"	"12009"	"2014"	"2014"	21	556885	3.8
	"Brevard County, FL"	"12009"	"2015"	"2015"	34	568088	6.0
	"Brevard County, FL"	"12009"	"2016"	"2016"	30	579130	5.2
	"Broward County, FL"	"12011"	"1999"	"1999"	80	1594130	5.0
	"Broward County, FL"	"12011"	"2000"	"2000"	68	1623018	4.2
	"Broward County, FL"	"12011"	"2001"	"2001"	94	1662848	5.7
	"Broward County, FL"	"12011"	"2002"	"2002"	94	1690118	5.6
	"Broward County, FL"	"12011"	"2003"	"2003"	83	1707543	4.9
	"Broward County, FL"	"12011"	"2004"	"2004"	73	1725461	4.2
	"Broward County, FL"	"12011"	"2005"	"2005"	79	1746896	4.5
	"Broward County, FL"	"12011"	"2006"	"2006"	88	1739348	5.1
	"Broward County, FL"	"12011"	"2007"	"2007"	104	1720825	6.0
	"Broward County, FL"	"12011"	"2008"	"2008"	94	1723633	5.5
	"Broward County, FL"	"12011"	"2009"	"2009"	88	1733310	5.1
	"Broward County, FL"	"12011"	"2010"	"2010"	81	1748066	4.6
	"Broward County, FL"	"12011"	"2011"	"2011"	81	1780172	4.6
	"Broward County, FL"	"12011"	"2012"	"2012"	94	1815137	5.2
	"Broward County, FL"	"12011"	"2013"	"2013"	96	1838844	5.2
	"Broward County, FL"	"12011"	"2014"	"2014"	81	1869235	4.3
	"Broward County, FL"	"12011"	"2015"	"2015"	98	1896425	5.2
	"Broward County, FL"	"12011"	"2016"	"2016"	103	1909632	5.4
	"Charlotte County, FL"	"12015"	"2007"	"2007"	12	159742	Unreliable
	"Clay County, FL"	"12019"	"2007"	"2007"	10	184256	Unreliable
	"Clay County, FL"	"12019"	"2009"	"2009"	11	189101	Unreliable
	"Clay County, FL"	"12019"	"2010"	"2010"	12	190865	Unreliable
	"Clay County, FL"	"12019"	"2011"	"2011"	10	192370	Unreliable
	"Clay County, FL"	"12019"	"2014"	"2014"	10	199798	Unreliable
	"Clay County, FL"	"12019"	"2016"	"2016"	11	208311	Unreliable
	"Collier County, FL"	"12021"	"2000"	"2000"	12	251377	Unreliable
	"Collier County, FL"	"12021"	"2003"	"2003"	10	285321	Unreliable
	"Collier County, FL"	"12021"	"2004"	"2004"	13	296021	Unreliable
	"Collier County, FL"	"12021"	"2007"	"2007"	17	314437	Unreliable
	"Collier County, FL"	"12021"	"2009"	"2009"	18	318485	Unreliable
	"Collier County, FL"	"12021"	"2010"	"2010"	12	321520	Unreliable
	"Collier County, FL"	"12021"	"2011"	"2011"	12	328134	Unreliable
	"Collier County, FL"	"12021"	"2013"	"2013"	14	339642	Unreliable
	"Duval County, FL"	"12031"	"1999"	"1999"	86	773150	11.1
	"Duval County, FL"	"12031"	"2000"	"2000"	76	778879	9.8
	"Duval County, FL"	"12031"	"2001"	"2001"	85	790681	10.8
	"Duval County, FL"	"12031"	"2002"	"2002"	111	800532	13.9
	"Duval County, FL"	"12031"	"2003"	"2003"	100	809633	12.4
	"Duval County, FL"	"12031"	"2004"	"2004"	114	820070	13.9
	"Duval County, FL"	"12031"	"2005"	"2005"	104	828988	12.5
	"Duval County, FL"	"12031"	"2006"	"2006"	121	842098	14.4
	"Duval County, FL"	"12031"	"2007"	"2007"	141	851033	16.6
	"Duval County, FL"	"12031"	"2008"	"2008"	122	855437	14.3
	"Duval County, FL"	"12031"	"2009"	"2009"	118	859795	13.7
	"Duval County, FL"	"12031"	"2010"	"2010"	99	864263	11.5
	"Duval County, FL"	"12031"	"2011"	"2011"	91	870709	10.5
	"Duval County, FL"	"12031"	"2012"	"2012"	109	879602	12.4
	"Duval County, FL"	"12031"	"2013"	"2013"	103	885855	11.6
	"Duval County, FL"	"12031"	"2014"	"2014"	111	897698	12.4
	"Duval County, FL"	"12031"	"2015"	"2015"	109	913010	11.9
	"Duval County, FL"	"12031"	"2016"	"2016"	108	926255	11.7
	"Escambia County, FL"	"12033"	"1999"	"1999"	10	293956	Unreliable
	"Escambia County, FL"	"12033"	"2000"	"2000"	18	294410	Unreliable
	"Escambia County, FL"	"12033"	"2001"	"2001"	17	297776	Unreliable
	"Escambia County, FL"	"12033"	"2002"	"2002"	17	297568	Unreliable
	"Escambia County, FL"	"12033"	"2003"	"2003"	16	296603	Unreliable
	"Escambia County, FL"	"12033"	"2004"	"2004"	19	298225	Unreliable
	"Escambia County, FL"	"12033"	"2005"	"2005"	14	298339	Unreliable
	"Escambia County, FL"	"12033"	"2006"	"2006"	14	300395	Unreliable
	"Escambia County, FL"	"12033"	"2007"	"2007"	27	297393	9.1
	"Escambia County, FL"	"12033"	"2008"	"2008"	22	296854	7.4
	"Escambia County, FL"	"12033"	"2009"	"2009"	26	297015	8.8
	"Escambia County, FL"	"12033"	"2010"	"2010"	30	297619	10.1
	"Escambia County, FL"	"12033"	"2011"	"2011"	19	299114	Unreliable
	"Escambia County, FL"	"12033"	"2012"	"2012"	24	302715	7.9
	"Escambia County, FL"	"12033"	"2013"	"2013"	26	305817	8.5
	"Escambia County, FL"	"12033"	"2014"	"2014"	20	310659	6.4
	"Escambia County, FL"	"12033"	"2015"	"2015"	25	311003	8.0
	"Escambia County, FL"	"12033"	"2016"	"2016"	23	315187	7.3
	"Hendry County, FL"	"12051"	"2011"	"2011"	10	39089	Unreliable
	"Hernando County, FL"	"12053"	"2010"	"2010"	11	172778	Unreliable
	"Hernando County, FL"	"12053"	"2014"	"2014"	10	175855	Unreliable
	"Hillsborough County, FL"	"12057"	"1999"	"1999"	60	984930	6.1
	"Hillsborough County, FL"	"12057"	"2000"	"2000"	72	998948	7.2
	"Hillsborough County, FL"	"12057"	"2001"	"2001"	63	1028385	6.1
	"Hillsborough County, FL"	"12057"	"2002"	"2002"	67	1054860	6.4
	"Hillsborough County, FL"	"12057"	"2003"	"2003"	64	1077462	5.9
	"Hillsborough County, FL"	"12057"	"2004"	"2004"	59	1108225	5.3
	"Hillsborough County, FL"	"12057"	"2005"	"2005"	50	1143154	4.4
	"Hillsborough County, FL"	"12057"	"2006"	"2006"	62	1171826	5.3
	"Hillsborough County, FL"	"12057"	"2007"	"2007"	76	1184686	6.4
	"Hillsborough County, FL"	"12057"	"2008"	"2008"	79	1196773	6.6
	"Hillsborough County, FL"	"12057"	"2009"	"2009"	54	1214050	4.4
	"Hillsborough County, FL"	"12057"	"2010"	"2010"	65	1229226	5.3
	"Hillsborough County, FL"	"12057"	"2011"	"2011"	68	1267775	5.4
	"Hillsborough County, FL"	"12057"	"2012"	"2012"	70	1277746	5.5
	"Hillsborough County, FL"	"12057"	"2013"	"2013"	68	1291578	5.3
	"Hillsborough County, FL"	"12057"	"2014"	"2014"	67	1316298	5.1
	"Hillsborough County, FL"	"12057"	"2015"	"2015"	76	1349050	5.6
	"Hillsborough County, FL"	"12057"	"2016"	"2016"	79	1376238	5.7
	"Indian River County, FL"	"12061"	"2014"	"2014"	11	144755	Unreliable
	"Lake County, FL"	"12069"	"1999"	"1999"	14	205123	Unreliable
	"Lake County, FL"	"12069"	"2001"	"2001"	13	222297	Unreliable
	"Lake County, FL"	"12069"	"2005"	"2005"	10	267587	Unreliable
	"Lake County, FL"	"12069"	"2006"	"2006"	12	281329	Unreliable
	"Lake County, FL"	"12069"	"2008"	"2008"	13	293654	Unreliable
	"Lake County, FL"	"12069"	"2009"	"2009"	12	295511	Unreliable
	"Lake County, FL"	"12069"	"2010"	"2010"	13	297052	Unreliable
	"Lake County, FL"	"12069"	"2011"	"2011"	11	301019	Unreliable
	"Lake County, FL"	"12069"	"2012"	"2012"	11	303186	Unreliable
	"Lake County, FL"	"12069"	"2014"	"2014"	14	315690	Unreliable
	"Lake County, FL"	"12069"	"2015"	"2015"	12	325875	Unreliable
	"Lake County, FL"	"12069"	"2016"	"2016"	13	335396	Unreliable
	"Lee County, FL"	"12071"	"1999"	"1999"	25	431981	5.8
	"Lee County, FL"	"12071"	"2000"	"2000"	19	440888	Unreliable
	"Lee County, FL"	"12071"	"2001"	"2001"	21	461037	4.6
	"Lee County, FL"	"12071"	"2002"	"2002"	46	478889	9.6
	"Lee County, FL"	"12071"	"2003"	"2003"	25	497662	5.0
	"Lee County, FL"	"12071"	"2004"	"2004"	34	522431	6.5
	"Lee County, FL"	"12071"	"2005"	"2005"	30	555029	5.4
	"Lee County, FL"	"12071"	"2006"	"2006"	47	582678	8.1
	"Lee County, FL"	"12071"	"2007"	"2007"	47	604716	7.8
	"Lee County, FL"	"12071"	"2008"	"2008"	46	610984	7.5
	"Lee County, FL"	"12071"	"2009"	"2009"	45	612297	7.3
	"Lee County, FL"	"12071"	"2010"	"2010"	31	618754	5.0
	"Lee County, FL"	"12071"	"2011"	"2011"	40	631330	6.3
	"Lee County, FL"	"12071"	"2012"	"2012"	50	645293	7.7
	"Lee County, FL"	"12071"	"2013"	"2013"	31	661115	4.7
	"Lee County, FL"	"12071"	"2014"	"2014"	36	679513	5.3
	"Lee County, FL"	"12071"	"2015"	"2015"	35	701982	5.0
	"Lee County, FL"	"12071"	"2016"	"2016"	46	722336	6.4
	"Leon County, FL"	"12073"	"2002"	"2002"	10	245404	Unreliable
	"Leon County, FL"	"12073"	"2004"	"2004"	13	254188	Unreliable
	"Leon County, FL"	"12073"	"2005"	"2005"	10	258083	Unreliable
	"Leon County, FL"	"12073"	"2008"	"2008"	14	271130	Unreliable
	"Leon County, FL"	"12073"	"2009"	"2009"	10	273263	Unreliable
	"Leon County, FL"	"12073"	"2010"	"2010"	13	275487	Unreliable
	"Leon County, FL"	"12073"	"2011"	"2011"	17	277971	Unreliable
	"Leon County, FL"	"12073"	"2012"	"2012"	19	283769	Unreliable
	"Leon County, FL"	"12073"	"2013"	"2013"	19	281845	Unreliable
	"Leon County, FL"	"12073"	"2014"	"2014"	17	283988	Unreliable
	"Leon County, FL"	"12073"	"2015"	"2015"	12	286272	Unreliable
	"Leon County, FL"	"12073"	"2016"	"2016"	12	287822	Unreliable
	"Manatee County, FL"	"12081"	"1999"	"1999"	17	259053	Unreliable
	"Manatee County, FL"	"12081"	"2001"	"2001"	12	272281	Unreliable
	"Manatee County, FL"	"12081"	"2002"	"2002"	16	279950	Unreliable
	"Manatee County, FL"	"12081"	"2003"	"2003"	16	287000	Unreliable
	"Manatee County, FL"	"12081"	"2004"	"2004"	18	296183	Unreliable
	"Manatee County, FL"	"12081"	"2005"	"2005"	18	306845	Unreliable
	"Manatee County, FL"	"12081"	"2006"	"2006"	16	313771	Unreliable
	"Manatee County, FL"	"12081"	"2007"	"2007"	23	316410	7.3
	"Manatee County, FL"	"12081"	"2008"	"2008"	17	318766	Unreliable
	"Manatee County, FL"	"12081"	"2009"	"2009"	26	320711	8.1
	"Manatee County, FL"	"12081"	"2010"	"2010"	18	322833	Unreliable
	"Manatee County, FL"	"12081"	"2011"	"2011"	14	327142	Unreliable
	"Manatee County, FL"	"12081"	"2012"	"2012"	32	333895	9.6
	"Manatee County, FL"	"12081"	"2013"	"2013"	13	342106	Unreliable
	"Manatee County, FL"	"12081"	"2014"	"2014"	21	351746	6.0
	"Manatee County, FL"	"12081"	"2015"	"2015"	25	363369	6.9
	"Manatee County, FL"	"12081"	"2016"	"2016"	25	375888	6.7
	"Marion County, FL"	"12083"	"1999"	"1999"	15	254964	Unreliable
	"Marion County, FL"	"12083"	"2000"	"2000"	12	258916	Unreliable
	"Marion County, FL"	"12083"	"2001"	"2001"	18	264553	Unreliable
	"Marion County, FL"	"12083"	"2002"	"2002"	14	271716	Unreliable
	"Marion County, FL"	"12083"	"2004"	"2004"	19	291164	Unreliable
	"Marion County, FL"	"12083"	"2005"	"2005"	20	303558	6.6
	"Marion County, FL"	"12083"	"2006"	"2006"	10	316310	Unreliable
	"Marion County, FL"	"12083"	"2007"	"2007"	15	325634	Unreliable
	"Marion County, FL"	"12083"	"2008"	"2008"	26	330052	7.9
	"Marion County, FL"	"12083"	"2009"	"2009"	14	330880	Unreliable
	"Marion County, FL"	"12083"	"2010"	"2010"	10	331298	Unreliable
	"Marion County, FL"	"12083"	"2011"	"2011"	18	332529	Unreliable
	"Marion County, FL"	"12083"	"2012"	"2012"	24	335125	7.2
	"Marion County, FL"	"12083"	"2013"	"2013"	22	337362	6.5
	"Marion County, FL"	"12083"	"2014"	"2014"	21	339167	6.2
	"Marion County, FL"	"12083"	"2015"	"2015"	10	343254	Unreliable
	"Marion County, FL"	"12083"	"2016"	"2016"	28	349020	8.0
	"Miami-Dade County, FL"	"12086"	"1999"	"1999"	222	2220961	10.0
	"Miami-Dade County, FL"	"12086"	"2000"	"2000"	195	2253362	8.7
	"Miami-Dade County, FL"	"12086"	"2001"	"2001"	196	2287458	8.6
	"Miami-Dade County, FL"	"12086"	"2002"	"2002"	209	2315747	9.0
	"Miami-Dade County, FL"	"12086"	"2003"	"2003"	204	2336070	8.7
	"Miami-Dade County, FL"	"12086"	"2004"	"2004"	212	2358684	9.0
	"Miami-Dade County, FL"	"12086"	"2005"	"2005"	175	2385872	7.3
	"Miami-Dade County, FL"	"12086"	"2006"	"2006"	235	2405911	9.8
	"Miami-Dade County, FL"	"12086"	"2007"	"2007"	232	2415576	9.6
	"Miami-Dade County, FL"	"12086"	"2008"	"2008"	250	2436062	10.3
	"Miami-Dade County, FL"	"12086"	"2009"	"2009"	215	2463943	8.7
	"Miami-Dade County, FL"	"12086"	"2010"	"2010"	214	2496435	8.6
	"Miami-Dade County, FL"	"12086"	"2011"	"2011"	218	2554766	8.5
	"Miami-Dade County, FL"	"12086"	"2012"	"2012"	228	2591035	8.8
	"Miami-Dade County, FL"	"12086"	"2013"	"2013"	234	2617176	8.9
	"Miami-Dade County, FL"	"12086"	"2014"	"2014"	228	2662874	8.6
	"Miami-Dade County, FL"	"12086"	"2015"	"2015"	233	2693117	8.7
	"Miami-Dade County, FL"	"12086"	"2016"	"2016"	219	2712945	8.1
	"Okaloosa County, FL"	"12091"	"2006"	"2006"	11	184071	Unreliable
	"Okaloosa County, FL"	"12091"	"2015"	"2015"	14	198664	Unreliable
	"Okaloosa County, FL"	"12091"	"2016"	"2016"	14	201170	Unreliable
	"Orange County, FL"	"12095"	"1999"	"1999"	61	875681	7.0
	"Orange County, FL"	"12095"	"2000"	"2000"	62	896344	6.9
	"Orange County, FL"	"12095"	"2001"	"2001"	57	931775	6.1
	"Orange County, FL"	"12095"	"2002"	"2002"	61	955136	6.4
	"Orange County, FL"	"12095"	"2003"	"2003"	67	979227	6.8
	"Orange County, FL"	"12095"	"2004"	"2004"	58	1011681	5.7
	"Orange County, FL"	"12095"	"2005"	"2005"	74	1053341	7.0
	"Orange County, FL"	"12095"	"2006"	"2006"	121	1083429	11.2
	"Orange County, FL"	"12095"	"2007"	"2007"	105	1100663	9.5
	"Orange County, FL"	"12095"	"2008"	"2008"	114	1115525	10.2
	"Orange County, FL"	"12095"	"2009"	"2009"	83	1131351	7.3
	"Orange County, FL"	"12095"	"2010"	"2010"	72	1145956	6.3
	"Orange County, FL"	"12095"	"2011"	"2011"	92	1169107	7.9
	"Orange County, FL"	"12095"	"2012"	"2012"	85	1202234	7.1
	"Orange County, FL"	"12095"	"2013"	"2013"	73	1225267	6.0
	"Orange County, FL"	"12095"	"2014"	"2014"	89	1253001	7.1
	"Orange County, FL"	"12095"	"2015"	"2015"	94	1288126	7.3
	"Orange County, FL"	"12095"	"2016"	"2016"	118	1314367	9.0
	"Osceola County, FL"	"12097"	"2005"	"2005"	13	228026	Unreliable
	"Osceola County, FL"	"12097"	"2006"	"2006"	17	242081	Unreliable
	"Osceola County, FL"	"12097"	"2007"	"2007"	18	253722	Unreliable
	"Osceola County, FL"	"12097"	"2008"	"2008"	15	261746	Unreliable
	"Osceola County, FL"	"12097"	"2009"	"2009"	11	265267	Unreliable
	"Osceola County, FL"	"12097"	"2011"	"2011"	12	276163	Unreliable
	"Osceola County, FL"	"12097"	"2012"	"2012"	10	287416	Unreliable
	"Osceola County, FL"	"12097"	"2013"	"2013"	10	298504	Unreliable
	"Osceola County, FL"	"12097"	"2014"	"2014"	10	310211	Unreliable
	"Osceola County, FL"	"12097"	"2015"	"2015"	17	323993	Unreliable
	"Osceola County, FL"	"12097"	"2016"	"2016"	19	336015	Unreliable
	"Palm Beach County, FL"	"12099"	"1999"	"1999"	71	1116913	6.4
	"Palm Beach County, FL"	"12099"	"2000"	"2000"	69	1131184	6.1
	"Palm Beach County, FL"	"12099"	"2001"	"2001"	54	1160474	4.7
	"Palm Beach County, FL"	"12099"	"2002"	"2002"	42	1191340	3.5
	"Palm Beach County, FL"	"12099"	"2003"	"2003"	62	1218100	5.1
	"Palm Beach County, FL"	"12099"	"2004"	"2004"	84	1252223	6.7
	"Palm Beach County, FL"	"12099"	"2005"	"2005"	74	1278380	5.8
	"Palm Beach County, FL"	"12099"	"2006"	"2006"	98	1284489	7.6
	"Palm Beach County, FL"	"12099"	"2007"	"2007"	106	1286586	8.2
	"Palm Beach County, FL"	"12099"	"2008"	"2008"	95	1294938	7.3
	"Palm Beach County, FL"	"12099"	"2009"	"2009"	84	1307371	6.4
	"Palm Beach County, FL"	"12099"	"2010"	"2010"	95	1320134	7.2
	"Palm Beach County, FL"	"12099"	"2011"	"2011"	77	1335187	5.8
	"Palm Beach County, FL"	"12099"	"2012"	"2012"	78	1356545	5.7
	"Palm Beach County, FL"	"12099"	"2013"	"2013"	83	1372171	6.0
	"Palm Beach County, FL"	"12099"	"2014"	"2014"	96	1397710	6.9
	"Palm Beach County, FL"	"12099"	"2015"	"2015"	98	1422789	6.9
	"Palm Beach County, FL"	"12099"	"2016"	"2016"	89	1443810	6.2
	"Pasco County, FL"	"12101"	"2001"	"2001"	17	357653	Unreliable
	"Pasco County, FL"	"12101"	"2002"	"2002"	16	369665	Unreliable
	"Pasco County, FL"	"12101"	"2003"	"2003"	21	383238	5.5
	"Pasco County, FL"	"12101"	"2004"	"2004"	25	401648	6.2
	"Pasco County, FL"	"12101"	"2005"	"2005"	19	421844	Unreliable
	"Pasco County, FL"	"12101"	"2006"	"2006"	25	439529	5.7
	"Pasco County, FL"	"12101"	"2007"	"2007"	22	453579	4.9
	"Pasco County, FL"	"12101"	"2008"	"2008"	28	461313	6.1
	"Pasco County, FL"	"12101"	"2009"	"2009"	16	462607	Unreliable
	"Pasco County, FL"	"12101"	"2010"	"2010"	14	464697	Unreliable
	"Pasco County, FL"	"12101"	"2011"	"2011"	15	466457	Unreliable
	"Pasco County, FL"	"12101"	"2012"	"2012"	17	470391	Unreliable
	"Pasco County, FL"	"12101"	"2013"	"2013"	21	475502	4.4
	"Pasco County, FL"	"12101"	"2014"	"2014"	17	485331	Unreliable
	"Pasco County, FL"	"12101"	"2015"	"2015"	24	497909	4.8
	"Pasco County, FL"	"12101"	"2016"	"2016"	14	512368	Unreliable
	"Pinellas County, FL"	"12103"	"1999"	"1999"	37	917379	4.0
	"Pinellas County, FL"	"12103"	"2000"	"2000"	25	921482	2.7
	"Pinellas County, FL"	"12103"	"2001"	"2001"	45	923850	4.9
	"Pinellas County, FL"	"12103"	"2002"	"2002"	57	925102	6.2
	"Pinellas County, FL"	"12103"	"2003"	"2003"	53	926266	5.7
	"Pinellas County, FL"	"12103"	"2004"	"2004"	46	928305	5.0
	"Pinellas County, FL"	"12103"	"2005"	"2005"	60	929426	6.5
	"Pinellas County, FL"	"12103"	"2006"	"2006"	54	924182	5.8
	"Pinellas County, FL"	"12103"	"2007"	"2007"	55	918624	6.0
	"Pinellas County, FL"	"12103"	"2008"	"2008"	55	916458	6.0
	"Pinellas County, FL"	"12103"	"2009"	"2009"	34	915330	3.7
	"Pinellas County, FL"	"12103"	"2010"	"2010"	43	916542	4.7
	"Pinellas County, FL"	"12103"	"2011"	"2011"	48	917398	5.2
	"Pinellas County, FL"	"12103"	"2012"	"2012"	49	921319	5.3
	"Pinellas County, FL"	"12103"	"2013"	"2013"	41	929048	4.4
	"Pinellas County, FL"	"12103"	"2014"	"2014"	42	938098	4.5
	"Pinellas County, FL"	"12103"	"2015"	"2015"	34	949827	3.6
	"Pinellas County, FL"	"12103"	"2016"	"2016"	52	960730	5.4
	"Polk County, FL"	"12105"	"1999"	"1999"	21	478047	4.4
	"Polk County, FL"	"12105"	"2000"	"2000"	20	483924	4.1
	"Polk County, FL"	"12105"	"2001"	"2001"	26	492917	5.3
	"Polk County, FL"	"12105"	"2002"	"2002"	35	501469	7.0
	"Polk County, FL"	"12105"	"2003"	"2003"	24	513058	4.7
	"Polk County, FL"	"12105"	"2004"	"2004"	21	527685	4.0
	"Polk County, FL"	"12105"	"2005"	"2005"	22	547373	4.0
	"Polk County, FL"	"12105"	"2006"	"2006"	24	568324	4.2
	"Polk County, FL"	"12105"	"2007"	"2007"	34	585982	5.8
	"Polk County, FL"	"12105"	"2008"	"2008"	52	594801	8.7
	"Polk County, FL"	"12105"	"2009"	"2009"	33	598683	5.5
	"Polk County, FL"	"12105"	"2010"	"2010"	30	602095	5.0
	"Polk County, FL"	"12105"	"2011"	"2011"	29	609492	4.8
	"Polk County, FL"	"12105"	"2012"	"2012"	41	616158	6.7
	"Polk County, FL"	"12105"	"2013"	"2013"	29	623009	4.7
	"Polk County, FL"	"12105"	"2014"	"2014"	26	634638	4.1
	"Polk County, FL"	"12105"	"2015"	"2015"	29	650092	4.5
	"Polk County, FL"	"12105"	"2016"	"2016"	46	666149	6.9
	"Putnam County, FL"	"12107"	"2007"	"2007"	10	75107	Unreliable
	"St. Johns County, FL"	"12109"	"2006"	"2006"	10	168480	Unreliable
	"St. Lucie County, FL"	"12111"	"1999"	"1999"	10	190349	Unreliable
	"St. Lucie County, FL"	"12111"	"2000"	"2000"	24	192695	12.5
	"St. Lucie County, FL"	"12111"	"2001"	"2001"	24	198459	12.1
	"St. Lucie County, FL"	"12111"	"2002"	"2002"	15	205796	Unreliable
	"St. Lucie County, FL"	"12111"	"2003"	"2003"	16	214924	Unreliable
	"St. Lucie County, FL"	"12111"	"2004"	"2004"	11	228548	Unreliable
	"St. Lucie County, FL"	"12111"	"2005"	"2005"	10	241965	Unreliable
	"St. Lucie County, FL"	"12111"	"2006"	"2006"	10	255251	Unreliable
	"St. Lucie County, FL"	"12111"	"2007"	"2007"	11	266860	Unreliable
	"St. Lucie County, FL"	"12111"	"2008"	"2008"	15	273151	Unreliable
	"St. Lucie County, FL"	"12111"	"2010"	"2010"	18	277789	Unreliable
	"St. Lucie County, FL"	"12111"	"2011"	"2011"	23	280379	8.2
	"St. Lucie County, FL"	"12111"	"2012"	"2012"	11	283866	Unreliable
	"St. Lucie County, FL"	"12111"	"2013"	"2013"	15	286832	Unreliable
	"St. Lucie County, FL"	"12111"	"2014"	"2014"	19	291028	Unreliable
	"St. Lucie County, FL"	"12111"	"2015"	"2015"	16	298563	Unreliable
	"St. Lucie County, FL"	"12111"	"2016"	"2016"	15	306507	Unreliable
	"Sarasota County, FL"	"12115"	"1999"	"1999"	15	322839	Unreliable
	"Sarasota County, FL"	"12115"	"2000"	"2000"	13	325957	Unreliable
	"Sarasota County, FL"	"12115"	"2003"	"2003"	14	347862	Unreliable
	"Sarasota County, FL"	"12115"	"2005"	"2005"	10	367912	Unreliable
	"Sarasota County, FL"	"12115"	"2006"	"2006"	13	371361	Unreliable
	"Sarasota County, FL"	"12115"	"2007"	"2007"	23	375325	6.1
	"Sarasota County, FL"	"12115"	"2008"	"2008"	17	377178	Unreliable
	"Sarasota County, FL"	"12115"	"2009"	"2009"	16	377262	Unreliable
	"Sarasota County, FL"	"12115"	"2010"	"2010"	10	379448	Unreliable
	"Sarasota County, FL"	"12115"	"2011"	"2011"	18	382213	Unreliable
	"Sarasota County, FL"	"12115"	"2012"	"2012"	16	386147	Unreliable
	"Sarasota County, FL"	"12115"	"2014"	"2014"	12	396962	Unreliable
	"Sarasota County, FL"	"12115"	"2015"	"2015"	13	405549	Unreliable
	"Sarasota County, FL"	"12115"	"2016"	"2016"	12	412569	Unreliable
	"Seminole County, FL"	"12117"	"1999"	"1999"	13	360168	Unreliable
	"Seminole County, FL"	"12117"	"2003"	"2003"	16	388141	Unreliable
	"Seminole County, FL"	"12117"	"2004"	"2004"	18	395230	Unreliable
	"Seminole County, FL"	"12117"	"2005"	"2005"	12	406840	Unreliable
	"Seminole County, FL"	"12117"	"2006"	"2006"	19	413218	Unreliable
	"Seminole County, FL"	"12117"	"2007"	"2007"	22	413571	5.3
	"Seminole County, FL"	"12117"	"2008"	"2008"	25	416564	6.0
	"Seminole County, FL"	"12117"	"2009"	"2009"	19	419788	Unreliable
	"Seminole County, FL"	"12117"	"2010"	"2010"	16	422718	Unreliable
	"Seminole County, FL"	"12117"	"2011"	"2011"	19	425071	Unreliable
	"Seminole County, FL"	"12117"	"2012"	"2012"	18	430838	Unreliable
	"Seminole County, FL"	"12117"	"2013"	"2013"	11	436041	Unreliable
	"Seminole County, FL"	"12117"	"2014"	"2014"	15	442516	Unreliable
	"Seminole County, FL"	"12117"	"2016"	"2016"	28	455479	6.1
	"Volusia County, FL"	"12127"	"1999"	"1999"	20	438368	4.6
	"Volusia County, FL"	"12127"	"2000"	"2000"	18	443343	Unreliable
	"Volusia County, FL"	"12127"	"2001"	"2001"	20	451103	4.4
	"Volusia County, FL"	"12127"	"2002"	"2002"	30	458248	6.5
	"Volusia County, FL"	"12127"	"2003"	"2003"	19	466074	Unreliable
	"Volusia County, FL"	"12127"	"2004"	"2004"	18	476845	Unreliable
	"Volusia County, FL"	"12127"	"2005"	"2005"	28	486297	5.8
