"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Mississippi"	"28"	"1999"	"1999"	308	2828408	10.9
	"Mississippi"	"28"	"2000"	"2000"	311	2844658	10.9
	"Mississippi"	"28"	"2001"	"2001"	325	2852994	11.4
	"Mississippi"	"28"	"2002"	"2002"	302	2858681	10.6
	"Mississippi"	"28"	"2003"	"2003"	300	2868312	10.5
	"Mississippi"	"28"	"2004"	"2004"	281	2889010	9.7
	"Mississippi"	"28"	"2005"	"2005"	253	2905943	8.7
	"Mississippi"	"28"	"2006"	"2006"	317	2904978	10.9
	"Mississippi"	"28"	"2007"	"2007"	283	2928350	9.7
	"Mississippi"	"28"	"2008"	"2008"	329	2947806	11.2
	"Mississippi"	"28"	"2009"	"2009"	275	2958774	9.3
	"Mississippi"	"28"	"2010"	"2010"	282	2967297	9.5
	"Mississippi"	"28"	"2011"	"2011"	310	2978512	10.4
	"Mississippi"	"28"	"2012"	"2012"	291	2984926	9.7
	"Mississippi"	"28"	"2013"	"2013"	288	2991207	9.6
	"Mississippi"	"28"	"2014"	"2014"	330	2994079	11.0
	"Mississippi"	"28"	"2015"	"2015"	322	2992333	10.8
	"Mississippi"	"28"	"2016"	"2016"	344	2988726	11.5
	"Missouri"	"29"	"1999"	"1999"	381	5561948	6.9
	"Missouri"	"29"	"2000"	"2000"	393	5595211	7.0
	"Missouri"	"29"	"2001"	"2001"	430	5641142	7.6
	"Missouri"	"29"	"2002"	"2002"	362	5674825	6.4
	"Missouri"	"29"	"2003"	"2003"	318	5709403	5.6
	"Missouri"	"29"	"2004"	"2004"	363	5747741	6.3
	"Missouri"	"29"	"2005"	"2005"	410	5790300	7.1
	"Missouri"	"29"	"2006"	"2006"	405	5842704	6.9
	"Missouri"	"29"	"2007"	"2007"	379	5887612	6.4
	"Missouri"	"29"	"2008"	"2008"	470	5923916	7.9
	"Missouri"	"29"	"2009"	"2009"	421	5961088	7.1
	"Missouri"	"29"	"2010"	"2010"	432	5988927	7.2
	"Missouri"	"29"	"2011"	"2011"	417	6010688	6.9
	"Missouri"	"29"	"2012"	"2012"	418	6021988	6.9
	"Missouri"	"29"	"2013"	"2013"	385	6044171	6.4
	"Missouri"	"29"	"2014"	"2014"	434	6063589	7.2
	"Missouri"	"29"	"2015"	"2015"	538	6083672	8.8
	"Missouri"	"29"	"2016"	"2016"	566	6093000	9.3
	"Montana"	"30"	"1999"	"1999"	33	897507	3.7
	"Montana"	"30"	"2000"	"2000"	35	902195	3.9
	"Montana"	"30"	"2001"	"2001"	31	906961	3.4
	"Montana"	"30"	"2002"	"2002"	23	911667	2.5
	"Montana"	"30"	"2003"	"2003"	37	919630	4.0
	"Montana"	"30"	"2004"	"2004"	25	930009	2.7
	"Montana"	"30"	"2005"	"2005"	32	940102	3.4
	"Montana"	"30"	"2006"	"2006"	35	952692	3.7
	"Montana"	"30"	"2007"	"2007"	24	964706	2.5
	"Montana"	"30"	"2008"	"2008"	40	976415	4.1
	"Montana"	"30"	"2009"	"2009"	35	983982	3.6
	"Montana"	"30"	"2010"	"2010"	28	989415	2.8
	"Montana"	"30"	"2011"	"2011"	26	998199	2.6
	"Montana"	"30"	"2012"	"2012"	24	1005141	2.4
	"Montana"	"30"	"2013"	"2013"	33	1015165	3.3
	"Montana"	"30"	"2014"	"2014"	30	1023579	2.9
	"Montana"	"30"	"2015"	"2015"	37	1032949	3.6
	"Montana"	"30"	"2016"	"2016"	41	1042520	3.9
	"Nebraska"	"31"	"1999"	"1999"	60	1704764	3.5
	"Nebraska"	"31"	"2000"	"2000"	64	1711263	3.7
	"Nebraska"	"31"	"2001"	"2001"	44	1719836	2.6
	"Nebraska"	"31"	"2002"	"2002"	50	1728292	2.9
	"Nebraska"	"31"	"2003"	"2003"	62	1738643	3.6
	"Nebraska"	"31"	"2004"	"2004"	39	1749370	2.2
	"Nebraska"	"31"	"2005"	"2005"	42	1761497	2.4
	"Nebraska"	"31"	"2006"	"2006"	55	1772693	3.1
	"Nebraska"	"31"	"2007"	"2007"	71	1783440	4.0
	"Nebraska"	"31"	"2008"	"2008"	78	1796378	4.3
	"Nebraska"	"31"	"2009"	"2009"	48	1812683	2.6
	"Nebraska"	"31"	"2010"	"2010"	60	1826341	3.3
	"Nebraska"	"31"	"2011"	"2011"	66	1842641	3.6
	"Nebraska"	"31"	"2012"	"2012"	64	1855525	3.4
	"Nebraska"	"31"	"2013"	"2013"	74	1868516	4.0
	"Nebraska"	"31"	"2014"	"2014"	62	1881503	3.3
	"Nebraska"	"31"	"2015"	"2015"	74	1896190	3.9
	"Nebraska"	"31"	"2016"	"2016"	60	1907116	3.1
	"Nevada"	"32"	"1999"	"1999"	164	1934718	8.5
	"Nevada"	"32"	"2000"	"2000"	130	1998257	6.5
	"Nevada"	"32"	"2001"	"2001"	173	2098399	8.2
	"Nevada"	"32"	"2002"	"2002"	174	2173791	8.0
	"Nevada"	"32"	"2003"	"2003"	183	2248850	8.1
	"Nevada"	"32"	"2004"	"2004"	186	2346222	7.9
	"Nevada"	"32"	"2005"	"2005"	188	2432143	7.7
	"Nevada"	"32"	"2006"	"2006"	216	2522658	8.6
	"Nevada"	"32"	"2007"	"2007"	185	2601072	7.1
	"Nevada"	"32"	"2008"	"2008"	161	2653630	6.1
	"Nevada"	"32"	"2009"	"2009"	150	2684665	5.6
	"Nevada"	"32"	"2010"	"2010"	162	2700551	6.0
	"Nevada"	"32"	"2011"	"2011"	127	2723322	4.7
	"Nevada"	"32"	"2012"	"2012"	122	2758931	4.4
	"Nevada"	"32"	"2013"	"2013"	150	2790136	5.4
	"Nevada"	"32"	"2014"	"2014"	175	2839099	6.2
	"Nevada"	"32"	"2015"	"2015"	188	2890845	6.5
	"Nevada"	"32"	"2016"	"2016"	211	2940058	7.2
	"New Hampshire"	"33"	"1999"	"1999"	20	1222014	1.6
	"New Hampshire"	"33"	"2000"	"2000"	15	1235786	Unreliable
	"New Hampshire"	"33"	"2001"	"2001"	19	1255517	Unreliable
	"New Hampshire"	"33"	"2002"	"2002"	Suppressed	1269089	Suppressed
	"New Hampshire"	"33"	"2003"	"2003"	20	1279840	1.6
	"New Hampshire"	"33"	"2004"	"2004"	23	1290121	1.8
	"New Hampshire"	"33"	"2005"	"2005"	18	1298492	Unreliable
	"New Hampshire"	"33"	"2006"	"2006"	19	1308389	Unreliable
	"New Hampshire"	"33"	"2007"	"2007"	13	1312540	Unreliable
	"New Hampshire"	"33"	"2008"	"2008"	20	1315906	1.5
	"New Hampshire"	"33"	"2009"	"2009"	15	1316102	Unreliable
	"New Hampshire"	"33"	"2010"	"2010"	18	1316470	Unreliable
	"New Hampshire"	"33"	"2011"	"2011"	21	1318194	1.6
	"New Hampshire"	"33"	"2012"	"2012"	16	1320718	Unreliable
	"New Hampshire"	"33"	"2013"	"2013"	22	1323459	1.7
	"New Hampshire"	"33"	"2014"	"2014"	17	1326813	Unreliable
	"New Hampshire"	"33"	"2015"	"2015"	18	1330608	Unreliable
	"New Hampshire"	"33"	"2016"	"2016"	18	1334795	Unreliable
	"New Jersey"	"34"	"1999"	"1999"	296	8359592	3.5
	"New Jersey"	"34"	"2000"	"2000"	317	8414350	3.8
	"New Jersey"	"34"	"2001"	"2001"	354	8492671	4.2
	"New Jersey"	"34"	"2002"	"2002"	333	8552643	3.9
	"New Jersey"	"34"	"2003"	"2003"	419	8601402	4.9
	"New Jersey"	"34"	"2004"	"2004"	399	8634561	4.6
	"New Jersey"	"34"	"2005"	"2005"	424	8651974	4.9
	"New Jersey"	"34"	"2006"	"2006"	445	8661679	5.1
	"New Jersey"	"34"	"2007"	"2007"	401	8677885	4.6
	"New Jersey"	"34"	"2008"	"2008"	367	8711090	4.2
	"New Jersey"	"34"	"2009"	"2009"	323	8755602	3.7
	"New Jersey"	"34"	"2010"	"2010"	385	8791894	4.4
	"New Jersey"	"34"	"2011"	"2011"	408	8821155	4.6
	"New Jersey"	"34"	"2012"	"2012"	399	8864590	4.5
	"New Jersey"	"34"	"2013"	"2013"	417	8899339	4.7
	"New Jersey"	"34"	"2014"	"2014"	363	8938175	4.1
	"New Jersey"	"34"	"2015"	"2015"	383	8958013	4.3
	"New Jersey"	"34"	"2016"	"2016"	393	8944469	4.4
	"New Mexico"	"35"	"1999"	"1999"	165	1808082	9.1
	"New Mexico"	"35"	"2000"	"2000"	160	1819046	8.8
	"New Mexico"	"35"	"2001"	"2001"	128	1831690	7.0
	"New Mexico"	"35"	"2002"	"2002"	160	1855309	8.6
	"New Mexico"	"35"	"2003"	"2003"	159	1877574	8.5
	"New Mexico"	"35"	"2004"	"2004"	169	1903808	8.9
	"New Mexico"	"35"	"2005"	"2005"	151	1932274	7.8
	"New Mexico"	"35"	"2006"	"2006"	131	1962137	6.7
	"New Mexico"	"35"	"2007"	"2007"	157	1990070	7.9
	"New Mexico"	"35"	"2008"	"2008"	151	2010662	7.5
	"New Mexico"	"35"	"2009"	"2009"	170	2036802	8.3
	"New Mexico"	"35"	"2010"	"2010"	149	2059179	7.2
	"New Mexico"	"35"	"2011"	"2011"	147	2082224	7.1
	"New Mexico"	"35"	"2012"	"2012"	128	2085538	6.1
	"New Mexico"	"35"	"2013"	"2013"	134	2085287	6.4
	"New Mexico"	"35"	"2014"	"2014"	133	2085572	6.4
	"New Mexico"	"35"	"2015"	"2015"	151	2085109	7.2
	"New Mexico"	"35"	"2016"	"2016"	184	2081015	8.8
	"New York"	"36"	"1999"	"1999"	959	18882725	5.1
	"New York"	"36"	"2000"	"2000"	982	18976457	5.2
	"New York"	"36"	"2001"	"2001"	1029	19082838	5.4
	"New York"	"36"	"2002"	"2002"	919	19137800	4.8
	"New York"	"36"	"2003"	"2003"	946	19175939	4.9
	"New York"	"36"	"2004"	"2004"	848	19171567	4.4
	"New York"	"36"	"2005"	"2005"	879	19132610	4.6
	"New York"	"36"	"2006"	"2006"	932	19104631	4.9
	"New York"	"36"	"2007"	"2007"	826	19132335	4.3
	"New York"	"36"	"2008"	"2008"	858	19212436	4.5
	"New York"	"36"	"2009"	"2009"	824	19307066	4.3
	"New York"	"36"	"2010"	"2010"	879	19378102	4.5
	"New York"	"36"	"2011"	"2011"	808	19465197	4.2
	"New York"	"36"	"2012"	"2012"	714	19570261	3.6
	"New York"	"36"	"2013"	"2013"	671	19651127	3.4
	"New York"	"36"	"2014"	"2014"	645	19746227	3.3
	"New York"	"36"	"2015"	"2015"	657	19795791	3.3
	"New York"	"36"	"2016"	"2016"	678	19745289	3.4
	"North Carolina"	"37"	"1999"	"1999"	646	7949361	8.1
	"North Carolina"	"37"	"2000"	"2000"	654	8049313	8.1
	"North Carolina"	"37"	"2001"	"2001"	596	8210122	7.3
	"North Carolina"	"37"	"2002"	"2002"	641	8326201	7.7
	"North Carolina"	"37"	"2003"	"2003"	593	8422501	7.0
	"North Carolina"	"37"	"2004"	"2004"	606	8553152	7.1
	"North Carolina"	"37"	"2005"	"2005"	660	8705407	7.6
	"North Carolina"	"37"	"2006"	"2006"	619	8917270	6.9
	"North Carolina"	"37"	"2007"	"2007"	668	9118037	7.3
	"North Carolina"	"37"	"2008"	"2008"	664	9309449	7.1
	"North Carolina"	"37"	"2009"	"2009"	556	9449566	5.9
	"North Carolina"	"37"	"2010"	"2010"	533	9535483	5.6
	"North Carolina"	"37"	"2011"	"2011"	532	9656401	5.5
	"North Carolina"	"37"	"2012"	"2012"	564	9752073	5.8
	"North Carolina"	"37"	"2013"	"2013"	557	9848060	5.7
	"North Carolina"	"37"	"2014"	"2014"	541	9943964	5.4
	"North Carolina"	"37"	"2015"	"2015"	586	10042802	5.8
	"North Carolina"	"37"	"2016"	"2016"	728	10146788	7.2
	"North Dakota"	"38"	"1999"	"1999"	13	644259	Unreliable
	"North Dakota"	"38"	"2000"	"2000"	12	642200	Unreliable
	"North Dakota"	"38"	"2001"	"2001"	Suppressed	639062	Suppressed
	"North Dakota"	"38"	"2002"	"2002"	Suppressed	638168	Suppressed
	"North Dakota"	"38"	"2003"	"2003"	12	638817	Unreliable
	"North Dakota"	"38"	"2004"	"2004"	10	644705	Unreliable
	"North Dakota"	"38"	"2005"	"2005"	11	646089	Unreliable
	"North Dakota"	"38"	"2006"	"2006"	11	649422	Unreliable
	"North Dakota"	"38"	"2007"	"2007"	14	652822	Unreliable
	"North Dakota"	"38"	"2008"	"2008"	Suppressed	657569	Suppressed
	"North Dakota"	"38"	"2009"	"2009"	14	664968	Unreliable
	"North Dakota"	"38"	"2010"	"2010"	14	672591	Unreliable
	"North Dakota"	"38"	"2011"	"2011"	17	683932	Unreliable
	"North Dakota"	"38"	"2012"	"2012"	16	699628	Unreliable
	"North Dakota"	"38"	"2013"	"2013"	13	723393	Unreliable
	"North Dakota"	"38"	"2014"	"2014"	15	739482	Unreliable
	"North Dakota"	"38"	"2015"	"2015"	22	756927	2.9
	"North Dakota"	"38"	"2016"	"2016"	17	757952	Unreliable
	"Ohio"	"39"	"1999"	"1999"	448	11335454	4.0
	"Ohio"	"39"	"2000"	"2000"	457	11353140	4.0
	"Ohio"	"39"	"2001"	"2001"	510	11387404	4.5
	"Ohio"	"39"	"2002"	"2002"	546	11407889	4.8
	"Ohio"	"39"	"2003"	"2003"	515	11434788	4.5
	"Ohio"	"39"	"2004"	"2004"	550	11452251	4.8
	"Ohio"	"39"	"2005"	"2005"	618	11463320	5.4
	"Ohio"	"39"	"2006"	"2006"	654	11481213	5.7
	"Ohio"	"39"	"2007"	"2007"	628	11500468	5.5
	"Ohio"	"39"	"2008"	"2008"	593	11515391	5.1
	"Ohio"	"39"	"2009"	"2009"	533	11528896	4.6
	"Ohio"	"39"	"2010"	"2010"	558	11536504	4.8
	"Ohio"	"39"	"2011"	"2011"	603	11544951	5.2
	"Ohio"	"39"	"2012"	"2012"	619	11544225	5.4
	"Ohio"	"39"	"2013"	"2013"	632	11570808	5.5
	"Ohio"	"39"	"2014"	"2014"	571	11594163	4.9
	"Ohio"	"39"	"2015"	"2015"	658	11613423	5.7
	"Ohio"	"39"	"2016"	"2016"	708	11614373	6.1
	"Oklahoma"	"40"	"1999"	"1999"	230	3437147	6.7
	"Oklahoma"	"40"	"2000"	"2000"	197	3450654	5.7
	"Oklahoma"	"40"	"2001"	"2001"	207	3467100	6.0
	"Oklahoma"	"40"	"2002"	"2002"	196	3489080	5.6
	"Oklahoma"	"40"	"2003"	"2003"	221	3504892	6.3
	"Oklahoma"	"40"	"2004"	"2004"	221	3525233	6.3
	"Oklahoma"	"40"	"2005"	"2005"	209	3548597	5.9
	"Oklahoma"	"40"	"2006"	"2006"	220	3594090	6.1
	"Oklahoma"	"40"	"2007"	"2007"	247	3634349	6.8
	"Oklahoma"	"40"	"2008"	"2008"	228	3668976	6.2
	"Oklahoma"	"40"	"2009"	"2009"	242	3717572	6.5
	"Oklahoma"	"40"	"2010"	"2010"	209	3751351	5.6
	"Oklahoma"	"40"	"2011"	"2011"	258	3791508	6.8
	"Oklahoma"	"40"	"2012"	"2012"	268	3814820	7.0
	"Oklahoma"	"40"	"2013"	"2013"	256	3850568	6.6
	"Oklahoma"	"40"	"2014"	"2014"	248	3878051	6.4
	"Oklahoma"	"40"	"2015"	"2015"	321	3911338	8.2
	"Oklahoma"	"40"	"2016"	"2016"	318	3923561	8.1
	"Oregon"	"41"	"1999"	"1999"	107	3393941	3.2
	"Oregon"	"41"	"2000"	"2000"	86	3421399	2.5
	"Oregon"	"41"	"2001"	"2001"	100	3467937	2.9
	"Oregon"	"41"	"2002"	"2002"	104	3513424	3.0
	"Oregon"	"41"	"2003"	"2003"	91	3547376	2.6
	"Oregon"	"41"	"2004"	"2004"	110	3569463	3.1
	"Oregon"	"41"	"2005"	"2005"	100	3613202	2.8
	"Oregon"	"41"	"2006"	"2006"	112	3670883	3.1
	"Oregon"	"41"	"2007"	"2007"	78	3722417	2.1
	"Oregon"	"41"	"2008"	"2008"	102	3768748	2.7
	"Oregon"	"41"	"2009"	"2009"	102	3808600	2.7
	"Oregon"	"41"	"2010"	"2010"	115	3831074	3.0
	"Oregon"	"41"	"2011"	"2011"	107	3871859	2.8
	"Oregon"	"41"	"2012"	"2012"	109	3899353	2.8
	"Oregon"	"41"	"2013"	"2013"	89	3930065	2.3
	"Oregon"	"41"	"2014"	"2014"	97	3970239	2.4
	"Oregon"	"41"	"2015"	"2015"	137	4028977	3.4
	"Oregon"	"41"	"2016"	"2016"	127	4093465	3.1
	"Pennsylvania"	"42"	"1999"	"1999"	633	12263805	5.2
	"Pennsylvania"	"42"	"2000"	"2000"	645	12281054	5.3
	"Pennsylvania"	"42"	"2001"	"2001"	635	12298970	5.2
	"Pennsylvania"	"42"	"2002"	"2002"	634	12331031	5.1
	"Pennsylvania"	"42"	"2003"	"2003"	667	12374658	5.4
	"Pennsylvania"	"42"	"2004"	"2004"	677	12410722	5.5
	"Pennsylvania"	"42"	"2005"	"2005"	741	12449990	6.0
	"Pennsylvania"	"42"	"2006"	"2006"	761	12510809	6.1
	"Pennsylvania"	"42"	"2007"	"2007"	740	12563937	5.9
	"Pennsylvania"	"42"	"2008"	"2008"	683	12612285	5.4
	"Pennsylvania"	"42"	"2009"	"2009"	644	12666858	5.1
	"Pennsylvania"	"42"	"2010"	"2010"	676	12702379	5.3
	"Pennsylvania"	"42"	"2011"	"2011"	678	12742886	5.3
	"Pennsylvania"	"42"	"2012"	"2012"	690	12763536	5.4
	"Pennsylvania"	"42"	"2013"	"2013"	624	12773801	4.9
	"Pennsylvania"	"42"	"2014"	"2014"	610	12787209	4.8
	"Pennsylvania"	"42"	"2015"	"2015"	660	12802503	5.2
	"Pennsylvania"	"42"	"2016"	"2016"	712	12784227	5.6
	"Rhode Island"	"44"	"1999"	"1999"	36	1040402	3.5
	"Rhode Island"	"44"	"2000"	"2000"	38	1048319	3.6
	"Rhode Island"	"44"	"2001"	"2001"	31	1057142	2.9
	"Rhode Island"	"44"	"2002"	"2002"	42	1065995	3.9
	"Rhode Island"	"44"	"2003"	"2003"	28	1071342	2.6
	"Rhode Island"	"44"	"2004"	"2004"	29	1074579	2.7
	"Rhode Island"	"44"	"2005"	"2005"	32	1067916	3.0
	"Rhode Island"	"44"	"2006"	"2006"	39	1063096	3.7
	"Rhode Island"	"44"	"2007"	"2007"	23	1057315	2.2
	"Rhode Island"	"44"	"2008"	"2008"	29	1055003	2.7
	"Rhode Island"	"44"	"2009"	"2009"	30	1053646	2.8
	"Rhode Island"	"44"	"2010"	"2010"	27	1052567	2.6
	"Rhode Island"	"44"	"2011"	"2011"	19	1051302	Unreliable
	"Rhode Island"	"44"	"2012"	"2012"	30	1050292	2.9
	"Rhode Island"	"44"	"2013"	"2013"	31	1051511	2.9
	"Rhode Island"	"44"	"2014"	"2014"	26	1055173	2.5
	"Rhode Island"	"44"	"2015"	"2015"	28	1056298	2.7
	"Rhode Island"	"44"	"2016"	"2016"	24	1056426	2.3
	"South Carolina"	"45"	"1999"	"1999"	311	3974682	7.8
	"South Carolina"	"45"	"2000"	"2000"	324	4012012	8.1
	"South Carolina"	"45"	"2001"	"2001"	348	4064995	8.6
	"South Carolina"	"45"	"2002"	"2002"	326	4107795	7.9
	"South Carolina"	"45"	"2003"	"2003"	325	4150297	7.8
	"South Carolina"	"45"	"2004"	"2004"	321	4210921	7.6
	"South Carolina"	"45"	"2005"	"2005"	332	4270150	7.8
	"South Carolina"	"45"	"2006"	"2006"	388	4357847	8.9
	"South Carolina"	"45"	"2007"	"2007"	373	4444110	8.4
	"South Carolina"	"45"	"2008"	"2008"	354	4528996	7.8
	"South Carolina"	"45"	"2009"	"2009"	345	4589872	7.5
	"South Carolina"	"45"	"2010"	"2010"	320	4625364	6.9
	"South Carolina"	"45"	"2011"	"2011"	352	4679230	7.5
	"South Carolina"	"45"	"2012"	"2012"	369	4723723	7.8
	"South Carolina"	"45"	"2013"	"2013"	315	4774839	6.6
	"South Carolina"	"45"	"2014"	"2014"	359	4832482	7.4
	"South Carolina"	"45"	"2015"	"2015"	444	4896146	9.1
	"South Carolina"	"45"	"2016"	"2016"	422	4961119	8.5
	"South Dakota"	"46"	"1999"	"1999"	23	750412	3.1
	"South Dakota"	"46"	"2000"	"2000"	14	754844	Unreliable
	"South Dakota"	"46"	"2001"	"2001"	18	757972	Unreliable
	"South Dakota"	"46"	"2002"	"2002"	20	760020	2.6
	"South Dakota"	"46"	"2003"	"2003"	16	763729	Unreliable
	"South Dakota"	"46"	"2004"	"2004"	24	770396	3.1
	"South Dakota"	"46"	"2005"	"2005"	21	775493	2.7
	"South Dakota"	"46"	"2006"	"2006"	21	783033	2.7
	"South Dakota"	"46"	"2007"	"2007"	15	791623	Unreliable
	"South Dakota"	"46"	"2008"	"2008"	20	799124	2.5
	"South Dakota"	"46"	"2009"	"2009"	29	807067	3.6
	"South Dakota"	"46"	"2010"	"2010"	17	814180	Unreliable
	"South Dakota"	"46"	"2011"	"2011"	24	824082	2.9
	"South Dakota"	"46"	"2012"	"2012"	20	833354	2.4
	"South Dakota"	"46"	"2013"	"2013"	20	844877	2.4
	"South Dakota"	"46"	"2014"	"2014"	25	853175	2.9
	"South Dakota"	"46"	"2015"	"2015"	35	858469	4.1
	"South Dakota"	"46"	"2016"	"2016"	38	865454	4.4
	"Tennessee"	"47"	"1999"	"1999"	422	5638706	7.5
	"Tennessee"	"47"	"2000"	"2000"	470	5689283	8.3
	"Tennessee"	"47"	"2001"	"2001"	452	5750789	7.9
	"Tennessee"	"47"	"2002"	"2002"	467	5795918	8.1
	"Tennessee"	"47"	"2003"	"2003"	437	5847812	7.5
	"Tennessee"	"47"	"2004"	"2004"	414	5910809	7.0
	"Tennessee"	"47"	"2005"	"2005"	485	5991057	8.1
	"Tennessee"	"47"	"2006"	"2006"	482	6088766	7.9
	"Tennessee"	"47"	"2007"	"2007"	471	6175727	7.6
	"Tennessee"	"47"	"2008"	"2008"	473	6247411	7.6
	"Tennessee"	"47"	"2009"	"2009"	492	6306019	7.8
	"Tennessee"	"47"	"2010"	"2010"	406	6346105	6.4
	"Tennessee"	"47"	"2011"	"2011"	439	6403353	6.9
	"Tennessee"	"47"	"2012"	"2012"	468	6456243	7.2
	"Tennessee"	"47"	"2013"	"2013"	402	6495978	6.2
	"Tennessee"	"47"	"2014"	"2014"	416	6549352	6.4
	"Tennessee"	"47"	"2015"	"2015"	455	6600299	6.9
	"Tennessee"	"47"	"2016"	"2016"	558	6651194	8.4
	"Texas"	"48"	"1999"	"1999"	1311	20558220	6.4
	"Texas"	"48"	"2000"	"2000"	1303	20851820	6.2
	"Texas"	"48"	"2001"	"2001"	1393	21319622	6.5
	"Texas"	"48"	"2002"	"2002"	1406	21690325	6.5
	"Texas"	"48"	"2003"	"2003"	1515	22030931	6.9
	"Texas"	"48"	"2004"	"2004"	1401	22394023	6.3
	"Texas"	"48"	"2005"	"2005"	1482	22778123	6.5
	"Texas"	"48"	"2006"	"2006"	1452	23359580	6.2
	"Texas"	"48"	"2007"	"2007"	1481	23831983	6.2
	"Texas"	"48"	"2008"	"2008"	1476	24309039	6.1
	"Texas"	"48"	"2009"	"2009"	1487	24801761	6.0
	"Texas"	"48"	"2010"	"2010"	1343	25145561	5.3
	"Texas"	"48"	"2011"	"2011"	1251	25674681	4.9
	"Texas"	"48"	"2012"	"2012"	1304	26059203	5.0
	"Texas"	"48"	"2013"	"2013"	1331	26448193	5.0
	"Texas"	"48"	"2014"	"2014"	1370	26956958	5.1
	"Texas"	"48"	"2015"	"2015"	1525	27469114	5.6
	"Texas"	"48"	"2016"	"2016"	1642	27862596	5.9
	"Utah"	"49"	"1999"	"1999"	50	2203482	2.3
	"Utah"	"49"	"2000"	"2000"	51	2233169	2.3
	"Utah"	"49"	"2001"	"2001"	76	2283715	3.3
	"Utah"	"49"	"2002"	"2002"	54	2324815	2.3
	"Utah"	"49"	"2003"	"2003"	55	2360137	2.3
	"Utah"	"49"	"2004"	"2004"	45	2401580	1.9
	"Utah"	"49"	"2005"	"2005"	63	2457719	2.6
	"Utah"	"49"	"2006"	"2006"	52	2525507	2.1
	"Utah"	"49"	"2007"	"2007"	67	2597746	2.6
	"Utah"	"49"	"2008"	"2008"	45	2663029	1.7
	"Utah"	"49"	"2009"	"2009"	51	2723421	1.9
	"Utah"	"49"	"2010"	"2010"	50	2763885	1.8
	"Utah"	"49"	"2011"	"2011"	56	2817222	2.0
	"Utah"	"49"	"2012"	"2012"	46	2855287	1.6
	"Utah"	"49"	"2013"	"2013"	51	2900872	1.8
	"Utah"	"49"	"2014"	"2014"	61	2942902	2.1
	"Utah"	"49"	"2015"	"2015"	59	2995919	2.0
	"Utah"	"49"	"2016"	"2016"	80	3051217	2.6
	"Vermont"	"50"	"1999"	"1999"	17	604683	Unreliable
	"Vermont"	"50"	"2000"	"2000"	11	608827	Unreliable
	"Vermont"	"50"	"2001"	"2001"	14	612223	Unreliable
	"Vermont"	"50"	"2002"	"2002"	Suppressed	615442	Suppressed
	"Vermont"	"50"	"2003"	"2003"	11	617858	Unreliable
	"Vermont"	"50"	"2004"	"2004"	10	619920	Unreliable
	"Vermont"	"50"	"2005"	"2005"	11	621215	Unreliable
	"Vermont"	"50"	"2006"	"2006"	13	622892	Unreliable
	"Vermont"	"50"	"2007"	"2007"	13	623481	Unreliable
	"Vermont"	"50"	"2008"	"2008"	16	624151	Unreliable
	"Vermont"	"50"	"2009"	"2009"	Suppressed	624817	Suppressed
	"Vermont"	"50"	"2010"	"2010"	Suppressed	625741	Suppressed
	"Vermont"	"50"	"2011"	"2011"	Suppressed	626431	Suppressed
	"Vermont"	"50"	"2012"	"2012"	Suppressed	626011	Suppressed
	"Vermont"	"50"	"2013"	"2013"	Suppressed	626630	Suppressed
	"Vermont"	"50"	"2014"	"2014"	16	626562	Unreliable
	"Vermont"	"50"	"2015"	"2015"	16	626042	Unreliable
	"Vermont"	"50"	"2016"	"2016"	10	624594	Unreliable
	"Virginia"	"51"	"1999"	"1999"	416	7000174	5.9
	"Virginia"	"51"	"2000"	"2000"	432	7078515	6.1
	"Virginia"	"51"	"2001"	"2001"	403	7198362	5.6
	"Virginia"	"51"	"2002"	"2002"	390	7286873	5.4
	"Virginia"	"51"	"2003"	"2003"	458	7366977	6.2
	"Virginia"	"51"	"2004"	"2004"	404	7475575	5.4
	"Virginia"	"51"	"2005"	"2005"	487	7577105	6.4
	"Virginia"	"51"	"2006"	"2006"	407	7673725	5.3
	"Virginia"	"51"	"2007"	"2007"	417	7751000	5.4
	"Virginia"	"51"	"2008"	"2008"	373	7833496	4.8
	"Virginia"	"51"	"2009"	"2009"	382	7925937	4.8
	"Virginia"	"51"	"2010"	"2010"	369	8001024	4.6
	"Virginia"	"51"	"2011"	"2011"	334	8096604	4.1
	"Virginia"	"51"	"2012"	"2012"	333	8185867	4.1
	"Virginia"	"51"	"2013"	"2013"	330	8260405	4.0
	"Virginia"	"51"	"2014"	"2014"	334	8326289	4.0
	"Virginia"	"51"	"2015"	"2015"	369	8382993	4.4
	"Virginia"	"51"	"2016"	"2016"	451	8411808	5.4
	"Washington"	"53"	"1999"	"1999"	187	5842564	3.2
	"Washington"	"53"	"2000"	"2000"	197	5894121	3.3
	"Washington"	"53"	"2001"	"2001"	193	5985722	3.2
	"Washington"	"53"	"2002"	"2002"	208	6052349	3.4
	"Washington"	"53"	"2003"	"2003"	215	6104115	3.5
	"Washington"	"53"	"2004"	"2004"	214	6178645	3.5
	"Washington"	"53"	"2005"	"2005"	226	6257305	3.6
	"Washington"	"53"	"2006"	"2006"	214	6370753	3.4
	"Washington"	"53"	"2007"	"2007"	199	6461587	3.1
	"Washington"	"53"	"2008"	"2008"	219	6562231	3.3
	"Washington"	"53"	"2009"	"2009"	190	6667426	2.8
	"Washington"	"53"	"2010"	"2010"	175	6724540	2.6
